"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Blautia hydrogenotrophica","Blautia sp. Ser8","Caloramator fervidus","Clostridium botulinum","Clostridium polysaccharolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Escherichia sp. 3_2_53FAA","Eubacterium coprostanoligenes","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Ruminococcus bromii","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","all_others"
3783,2645,4194,18,0,66,380,4320,827,622,1114,1035,323,1238,2117,242,93,679,57,6891,1889,1395,892,594,0,595,765,121,3908,551,5909,701,0,0,1103,16251
591,232,6987,149,0,135,745,2444,453,1735,27,271,393,330,3103,5,739,65,766,7289,1984,1009,853,752,0,190,577,6,4235,388,6431,1334,0,0,4547,18722
3290,2381,55,361,1440,378,269,8366,1764,251,205,180,552,369,0,0,242,409,268,1257,0,4180,1703,254,3137,932,460,3641,0,0,0,1147,1441,131,506,13832
1345,71,2493,1,0,307,362,2649,607,190,2544,749,426,1647,1496,1041,1387,473,0,2610,2899,358,187,603,0,95,2,439,2574,314,4696,92,0,0,292,10563
8,8,16210,15474,0,2,9,16202,8,729,255,1118,2,96,380,103,0,97,7,781,1492,583,84,293,0,1,6,0,1289,30,1715,37,0,0,93,38993
172,60,1707,17,0,51,230,1852,1011,178,318,312,463,1620,2132,352,48,402,27,1815,1302,399,842,273,0,96,332,14,2546,116,4942,3,0,0,334,10432
1770,1700,4571,1,0,70,109,92,1878,287,789,450,951,577,3254,944,686,301,152,3782,1347,940,2012,306,0,92,11,9,4973,904,8131,481,0,0,1387,15018
1888,683,223,3,2427,500,54,12717,1034,1048,73,239,242,828,0,0,205,1878,665,1789,0,5400,808,213,4737,114,137,2400,0,0,0,309,676,227,1379,19611
1008,254,7069,13,0,224,1094,9328,1019,496,93,565,400,1957,5595,11,305,456,407,5751,1012,456,1319,450,3,357,237,38,4930,1097,11470,2531,0,0,3446,17309
1682,1185,2810,179,3733,1063,380,6487,555,597,261,165,278,309,2082,17,178,512,978,4991,1774,5685,612,1021,946,1877,100,2319,3735,1640,9153,441,1495,96,1549,17382
630,386,10071,659,0,801,1511,13381,66,1252,11,1606,14,184,815,957,40,13,1354,2361,1032,305,202,213,0,293,120,13,2124,209,3168,3411,0,0,166,30449
12,4,5495,440,0,6,61,1729,19,521,1355,81,1,64,5273,703,2,53,2,815,2128,627,71,338,0,2720,3,0,1542,1500,7281,41,0,0,7557,15321
2305,1068,1365,1,0,687,71,1228,811,58,98,207,193,1060,1055,75,8,703,11,548,812,299,781,133,0,389,483,16,2453,597,3930,135,0,0,400,5319
3724,666,2909,1,0,329,62,2303,759,232,1798,152,916,1525,1740,185,33,298,34,3559,1570,1823,819,100,0,710,847,76,4971,1017,9064,38,0,0,298,15136
920,127,1002,0,1414,33,30,3552,873,731,3212,438,469,803,495,1901,171,204,27,2371,2620,2413,711,667,3456,885,585,1254,2097,3376,6846,514,790,1009,514,16977
2202,1339,2400,33,762,11,1664,9638,1373,457,423,219,603,659,959,19,320,79,519,6455,914,9455,1713,356,1291,28,171,3363,6051,114,6461,207,730,308,1716,13059
176,373,6886,84,0,68,866,556,814,1784,265,624,1088,943,1317,158,1007,70,576,6675,2838,1507,1079,776,0,574,6,247,5343,391,7571,9,0,0,401,27621
442,15,1017,1337,2273,141,205,4140,358,571,77,949,345,345,744,194,173,321,3237,5355,2977,4355,552,1688,230,3324,7,1439,3683,192,3623,1011,970,350,1250,19306
2149,489,0,4,4043,508,245,3758,181,1306,2755,483,39,125,0,0,1,80,554,2802,0,4395,399,788,1258,808,820,2935,0,0,0,18,1153,320,1701,13770
1510,263,4768,235,0,577,136,10376,40,414,233,1076,114,143,3697,13,0,36,1958,722,1754,331,341,133,0,1945,14,0,2175,61,2860,39,0,0,821,12781
2708,1675,2709,431,0,3,450,3205,103,423,7323,2912,165,209,1646,1260,0,139,12,1295,7955,809,1061,74,0,357,640,10,1190,61,3308,296,0,0,1069,14043
185,133,7142,375,1885,54,236,7639,0,503,15,191,12,59,717,712,57,3,1567,2382,955,8999,281,440,755,618,1099,1617,510,69,2279,2,327,36,1810,9206
4159,2056,6591,504,0,527,1071,7329,2386,762,370,1582,1009,3156,3873,1459,444,340,1496,8889,1627,2022,2607,667,0,1544,1100,232,10906,2096,16808,253,0,0,3352,39317
78,2,6685,243,1890,13,192,4997,575,1036,116,2658,680,1782,1202,42,284,440,4006,7170,3470,5499,1234,521,1384,43,274,1041,9555,3181,13956,7048,8533,251,7452,38446
8550,4598,21,245,7180,1,1379,17829,859,1150,157,919,717,1215,0,0,883,1306,547,2769,0,7440,2019,509,9552,642,1496,9876,0,0,0,593,2008,1360,2152,41584
2783,477,1734,0,2956,703,2114,7273,356,155,5900,448,103,902,2457,1066,1,69,131,2924,5629,4455,387,4272,285,3059,1288,2912,1192,91,6266,460,1964,33,274,16973
6484,3719,13204,439,0,4,4388,1941,1028,760,138,725,1411,1806,9461,54,1838,922,1436,5375,3411,1062,1060,754,0,1352,94,113,7521,2151,22500,784,0,0,3408,39877
2638,428,1190,2441,11417,11,773,5090,3029,603,152,424,461,2212,1181,21,596,4054,662,7943,1393,7497,3198,1034,1087,9,4,4194,10026,1360,13524,643,1448,354,940,17322
6953,2660,18867,3798,0,719,1227,2474,2196,354,240,1169,797,1912,7477,197,597,1369,314,3375,2664,2390,3103,272,0,3355,75,367,11226,3495,18668,1024,0,0,1531,34983
5419,478,1267,198,1628,251,1280,8980,860,1672,188,168,919,1284,3273,19,579,1623,4052,6472,3707,8138,1096,340,1682,710,1,5304,8865,2059,15353,1908,1408,226,949,34639
1422,294,1,82,854,202,268,3296,209,217,37,1053,49,307,0,0,35,49,333,542,0,1157,262,776,579,366,527,1582,0,0,0,831,389,38,125,4856
2228,1615,930,19,3169,0,203,6817,39,286,1427,852,189,797,0,0,0,303,11,1702,0,5883,169,766,3224,775,462,3816,0,0,0,60,2024,255,706,22909
6852,258,8450,831,7719,39,22,8780,2774,423,7840,343,320,1741,4111,365,1487,90,74,3961,10520,17084,2928,4932,3412,0,1275,9863,5428,2287,16316,120,1721,98,8948,41715
3786,2117,5683,25,0,1227,655,3826,466,1582,154,911,965,563,4353,1487,483,1667,910,14629,2915,1238,1854,1554,0,276,413,25,8430,1953,13517,1305,0,0,1877,37174
2463,723,281,19,1071,418,270,4647,3158,196,2467,386,175,716,1049,1620,7,241,10,4259,2727,3345,3143,158,327,830,532,1957,3772,914,9416,195,932,45,367,15281
8789,7751,1916,423,546,26,13,14137,136,130,2420,120,195,127,461,901,19,127,25,836,2542,2932,157,1043,313,34,917,10380,4323,194,6131,86,354,95,256,17719
2839,2104,28266,909,0,1,4566,7309,885,805,78,1110,755,1846,2248,67,597,165,3505,7527,4325,2498,1192,788,0,2948,2433,144,6844,208,16095,388,0,0,452,33662
568,58,79,159,10089,10,225,11989,2022,953,403,407,1005,2461,0,0,243,1212,437,1854,0,6454,2605,359,7544,272,219,1186,2,0,0,422,1944,2274,1992,33482
15229,4765,1,1,2142,1,0,22404,59,2947,298,1672,409,676,0,0,2,1509,1793,5404,0,7414,943,921,3636,1,0,12697,0,0,0,803,697,428,77,24404
