"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Prevotella","Propionibacterium","Reinekea","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
7464,25282,794,2750,461,51,2756,540,845,3,2283,2614,2440,266,13958,2385,1399,11136,0,260,5977,96,3954,469,859,1068,11539
3930,13169,372,3073,475,194,3278,703,409,48,382,4576,1699,6,3179,803,185,4131,406,762,6726,5,1949,56,1019,79,8639
1038,8366,44,1884,94,4252,6273,575,466,39,490,2657,3361,43,4061,370,422,960,6,1520,7051,3,612,320,626,176,13328
3565,14057,528,1644,323,2722,5828,308,697,187,2903,4879,3766,8,6983,2179,743,4310,38,596,6891,68,685,356,1266,292,12291
4132,10267,359,331,47,607,1197,87,12,339,117,1479,569,2,3596,367,35,8213,0,76,668,1,1678,9,911,1,1812
595,11114,298,1099,50,2762,3848,1346,331,1009,725,2829,2041,11,4179,1551,298,1691,0,1102,5070,64,688,144,537,31,8403
2809,11511,185,1432,29,152,3219,1305,833,32,254,3729,2171,73,5688,1002,344,4115,0,678,4912,0,1581,176,376,68,7085
1544,3964,438,1603,97,364,2760,762,851,2,1806,2436,1217,81,1587,2206,531,913,605,149,5410,307,565,436,305,285,10167
619,12863,506,2759,133,85,5206,911,1164,82,3260,6005,1303,2138,4072,2660,497,1764,149,1090,9079,93,794,923,1754,207,14515
21,30513,453,1585,27,29,737,134,1050,23,2266,7788,1177,0,13603,1519,176,633,2,22,3925,1690,458,2,623,45,6451
4600,22247,247,2941,381,778,3935,266,1335,553,4591,6201,1326,292,8975,3557,302,3781,1,612,8890,298,1900,1125,1989,274,9649
13048,12806,125,2085,67,1552,5388,186,580,458,2795,4692,1503,724,5596,1952,536,5014,6,378,5264,55,2109,269,1021,117,8100
901,13445,480,685,7,1166,2755,343,924,807,654,4013,1359,287,3689,1451,431,1647,18,408,3998,3,284,204,1057,589,5894
678,25132,252,474,124,13,1250,217,153,2,835,644,860,7,7466,223,15,6562,0,61,2108,258,381,152,332,53,1881
