"Alistipes","Anaerostipes","Bacteroides","Barnesiella","Bifidobacterium","Blautia","Butyricicoccus","Butyricimonas","Butyrivibrio","Caldanaerobacter","Caloramator","Clostridium","Coptotermes","Dethiobacter","Dorea","Erysipelothrix","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lachnospira","Lactobacillus","Listeria","Odoribacter","Paenibacillus","Parabacteroides","Prevotella","Propionibacterium","Reinekea","Roseburia","Ruminococcus","Selenomonas","Staphylococcus","Streptomyces","Synechococcus","Syntrophus","Thiohalospira","Veillonella","Blattabacterium","Dialister","Streptococcus","Acidaminococcus","all_others"
665,240,22236,4,160,820,38,0,7,10,158,2046,200,480,25,51,38,1797,1615,1085,3,9206,238,835,309,237,56,6668,4,87,6389,262,1310,69,99,40,1010,162,6,88,30,56,7,12,8578
151,5,11674,0,1646,1118,181,0,60,39,304,2977,4696,390,824,528,91,1417,6185,1052,12,6374,2,908,620,80,3,1968,68,658,8368,3,2384,229,11,11,637,236,4,3,53,2,44,618,11907
2601,221,13420,30,1160,2609,37,14,165,58,176,5739,312,1286,1133,15,106,2661,5087,2280,182,5723,175,2697,185,94,70,4561,12,142,5220,1842,590,140,125,55,1332,426,10,63,71,10,77,112,6269
53,6,8919,5,401,1290,26,2,167,179,156,3935,979,1928,12,12,33,2369,4577,2861,86,1767,532,1807,390,20,15,434,3005,702,6081,315,626,170,259,214,604,745,144,34,138,93,101,77,10370
4988,125,15425,434,1177,2800,46,76,44,82,141,4276,1710,4066,63,6,25,821,7495,2523,88,5638,500,2111,1284,158,49,10218,0,383,8263,123,3589,138,87,44,1432,516,49,85,246,12,14,2,21516
3301,75,20626,2,600,1423,24,0,46,134,87,2721,417,1290,101,228,21,1061,2129,1177,18,5834,12,998,242,404,59,5581,107,151,3741,31,279,201,53,19,1306,279,1,22,52,2,19,11,3753
10464,328,19452,371,617,5306,107,44,657,111,637,7195,3091,3058,301,15,90,4816,8363,2004,483,8063,459,6114,1357,188,216,8276,466,2340,17652,470,2574,2180,49,53,3961,461,15,273,216,4,178,353,21699
19153,707,34085,525,844,3578,51,0,143,150,126,10063,611,4257,165,24,3,5764,8331,2976,84,16338,907,3436,1417,582,55,11282,28,2830,17083,771,3693,2950,67,58,2019,419,8,489,0,80,44,11,16678
6801,519,16768,94,124,2147,285,202,1454,252,120,10018,1960,2713,16,67,173,6089,8441,3473,28,2020,405,3857,450,233,161,1704,1608,542,10087,516,4238,280,354,1,0,0,6,162,322,10,20,855,22569
16561,568,25255,254,85,2130,204,380,532,551,842,10234,1299,9835,44,47,131,5304,7117,2612,447,1216,291,1002,1315,122,113,534,2,2603,17423,97,1928,600,194,1,0,0,1033,181,73,74,107,5,24204
