"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Dorea","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Peptococcus","Prevotella","Propionibacterium","Reinekea","Riemerella","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
2415,23211,1694,2132,293,57,4051,723,301,152,57,2012,4561,1148,46,7521,4051,569,5044,1634,5,1811,6993,0,461,1523,42,1281,247,12676
2783,22516,974,4578,83,271,6448,694,343,517,98,1756,7899,2248,5,13120,4019,521,1772,0,48,130,12124,0,480,2436,21,1328,284,18708
1698,11092,621,2582,153,413,6876,713,1240,195,14,1684,8080,1137,57,4308,1623,479,2268,3,0,149,8722,0,136,1847,230,1113,1776,26225
1069,10051,152,1533,30,31,1362,276,267,39,7,703,923,581,5,2367,609,98,1811,1,360,353,3195,110,103,156,13,552,624,9964
4395,15825,230,1110,95,71,2171,519,922,22,475,3803,2451,1262,13,5049,1527,880,6470,0,0,1913,6878,0,130,1683,21,1003,96,7126
7464,25282,794,2750,461,51,2756,540,845,117,3,2283,2614,2440,266,13958,2385,1399,11136,1,0,260,5977,0,96,3954,469,859,1068,11421
3930,13169,372,3073,475,194,3278,703,409,609,48,382,4576,1699,6,3179,803,185,4131,5,406,762,6726,0,5,1949,56,1019,79,8025
1038,8366,44,1884,94,4252,6273,575,466,374,39,490,2657,3361,43,4061,370,422,960,1386,6,1520,7051,0,3,612,320,626,176,11568
3565,14057,528,1644,323,2722,5828,308,697,346,187,2903,4879,3766,8,6983,2179,743,4310,7,38,596,6891,0,68,685,356,1266,292,11938
4132,10267,359,331,47,607,1197,87,12,19,339,117,1479,569,2,3596,367,35,8213,0,0,76,668,0,1,1678,9,911,1,1793
595,11114,298,1099,50,2762,3848,1346,331,409,1009,725,2829,2041,11,4179,1551,298,1691,1073,0,1102,5070,0,64,688,144,537,31,6921
2809,11511,185,1432,29,152,3219,1305,833,418,32,254,3729,2171,73,5688,1002,344,4115,564,0,678,4912,0,0,1581,176,376,68,6103
1544,3964,438,1603,97,364,2760,762,851,153,2,1806,2436,1217,81,1587,2206,531,913,313,605,149,5410,0,307,565,436,305,285,9701
619,12863,506,2759,133,85,5206,911,1164,16,82,3260,6005,1303,2138,4072,2660,497,1764,21,149,1090,9079,4,93,794,923,1754,207,14474
21,30513,453,1585,27,29,737,134,1050,42,23,2266,7788,1177,0,13603,1519,176,633,0,2,22,3925,0,1690,458,2,623,45,6409
4600,22247,247,2941,381,778,3935,266,1335,18,553,4591,6201,1326,292,8975,3557,302,3781,5,1,612,8890,0,298,1900,1125,1989,274,9626
13048,12806,125,2085,67,1552,5388,186,580,56,458,2795,4692,1503,724,5596,1952,536,5014,25,6,378,5264,49,55,2109,269,1021,117,7970
901,13445,480,685,7,1166,2755,343,924,62,807,654,4013,1359,287,3689,1451,431,1647,5,18,408,3998,0,3,284,204,1057,589,5827
678,25132,252,474,124,13,1250,217,153,12,2,835,644,860,7,7466,223,15,6562,0,0,61,2108,0,258,381,152,332,53,1869
2346,11363,2172,2846,278,77,8088,490,3011,0,3,1910,6768,2364,10,2453,1015,963,525,630,0,705,9668,3,194,3224,428,0,0,15600
5222,10627,0,1461,1,144,2255,342,346,0,60,588,2016,1205,69,370,953,16,552,4,1,3066,6839,0,0,281,38,0,0,14656
10330,13245,286,2178,144,2012,2887,1649,0,756,2,2211,1861,0,140,3543,2648,77,8221,3,6,0,0,0,125,2022,314,639,2871,7595
7169,14162,266,1382,58,263,3794,470,2330,0,356,1629,3311,1484,448,534,1474,302,2205,159,4,424,5762,3,41,755,157,0,0,8202
1037,20152,33,1240,84,49,3676,240,715,1,541,1121,3699,2586,154,1113,1122,196,3348,158,13,167,3080,0,591,7665,90,0,0,5623
11274,44364,377,484,62,313,3001,914,0,94,89,357,920,0,4,7486,1905,9,11823,0,8,0,0,0,101,1157,58,3918,36,4810
4058,4749,43,1694,24,62,6328,3312,2048,15,45,633,2157,1082,909,591,308,584,230,432,263,431,6950,0,15,2231,449,0,0,8584
2470,7562,568,1123,169,420,6448,1269,0,670,0,1702,2195,0,1780,2780,4796,19,3130,187,345,0,0,0,208,2713,720,1147,110,7315
4849,10503,190,1959,42,718,5777,1658,636,474,284,817,6765,1604,166,3073,2403,564,4798,4,5,364,5256,1,18,604,205,593,620,10256
6500,10607,84,1923,23,1114,7844,1238,2117,8,242,1203,6891,1889,200,1395,1198,400,1805,2,9,551,5909,6,41,1538,237,0,0,10325
825,13848,257,3256,962,27,1959,330,3103,1,6,3566,7289,1984,185,1009,979,1017,776,23,1,388,6431,2,789,3497,109,0,0,14836
5757,13617,225,2151,122,205,3856,369,0,119,139,1424,1257,0,92,4180,3469,7,5052,0,54,0,0,0,296,2006,1576,1441,131,5687
1422,6181,2,977,12,2544,4069,1647,1496,1,1053,2657,2610,2899,283,358,656,230,1723,15,0,314,4696,0,1,298,398,0,0,6970
16,79142,61,1282,48,255,3744,96,380,27,170,113,781,1492,163,583,1361,994,7,1,9,30,1715,0,36,1263,8,0,0,2327
232,4256,1,1264,41,318,2737,1620,2132,1,355,1072,1815,1302,1,399,511,151,443,4,0,116,4942,188,20,152,1010,0,0,9311
3478,7581,28,2420,43,789,5253,577,3254,2,944,1738,3782,1347,236,940,383,677,240,5,722,904,8131,0,102,1806,132,0,0,12254
3116,19833,129,3095,154,73,7212,828,0,178,2,3802,1789,0,67,5400,5066,43,2652,35,3,0,0,7,173,1746,81,676,227,5783
1265,21103,57,1896,107,93,5054,1957,5595,30,11,2424,5751,1012,183,456,714,788,985,119,48,1097,11470,4,407,4242,123,0,0,13696
2871,18363,302,1657,343,261,3368,309,2082,24,19,2881,4991,1774,396,5685,2088,617,4508,26,0,1640,9153,1283,808,1359,11,1495,96,9709
1203,40499,9,2294,125,11,2495,184,815,46,957,2246,2361,1032,51,305,679,728,700,45,249,209,3168,0,1217,11291,5,0,0,4666
16,9353,830,967,7,1355,2750,64,5273,1,706,224,815,2128,4,627,479,134,2729,17,1,1500,7281,0,13,533,32,0,0,17873
3378,4266,422,908,14,98,1308,1060,1055,6,83,828,548,812,7,299,202,165,907,24,1,597,3930,0,9,342,38,0,0,5992
4450,6397,241,1088,204,1798,5352,1525,1740,3,185,1645,3559,1570,74,1823,867,786,1652,71,5,1017,9064,0,23,429,739,0,0,11370
1048,6957,260,1985,12,3212,4895,803,495,61,1902,663,2371,2620,15,2413,4585,2758,2725,0,0,3376,6846,0,14,1209,2422,790,1009,7998
