"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides sp. D1","Bacteroides vulgatus","Dethiobacter alkaliphilus","Faecalibacterium prausnitzii","Kineococcus radiotolerans","Lactobacillus vaginalis","Parabacteroides merdae","Parvimonas micra","Reinekea blandensis","all_others"
2708,1675,2709,0,3205,1646,1295,809,0,10,1190,3308,38986
185,133,7142,1885,7639,717,2382,8999,755,1617,510,2279,18627
4159,2056,6591,0,7329,3873,8889,2022,0,232,10906,16808,67669
78,2,6685,1890,4997,1202,7170,5499,1384,1041,9555,13956,82520
8550,4598,21,7180,17829,0,2769,7440,9552,9876,0,0,61741
2783,477,1734,2956,7273,2457,2924,4455,285,2912,1192,6266,46378
6484,3719,13204,0,1941,9461,5375,1062,0,113,7521,22500,67840
2638,428,1190,11417,5090,1181,7943,7497,1087,4194,10026,13524,43144
6953,2660,18867,0,2474,7477,3375,2390,0,367,11226,18668,65391
5419,478,1267,1628,8980,3273,6472,8138,1682,5304,8865,15353,60136
1422,294,1,854,3296,0,542,1157,579,1582,0,0,11011
2228,1615,930,3169,6817,0,1702,5883,3224,3816,0,0,32252
6852,258,8450,7719,8780,4111,3961,17084,3412,9863,5428,16316,90893
3786,2117,5683,0,3826,4353,14629,1238,0,25,8430,13517,60416
2463,723,281,1071,4647,1049,4259,3345,327,1957,3772,9416,34807
8789,7751,1916,546,14137,461,836,2932,313,10380,4323,6131,28059
2839,2104,28266,0,7309,2248,7527,2498,0,144,6844,16095,61685
568,58,79,10089,11989,0,1854,6454,7544,1186,2,0,53106
15229,4765,1,2142,22404,0,5404,7414,3636,12697,0,0,37641
639,24,5967,2808,4681,480,1615,9206,368,3297,2233,6389,30334
101,49,4015,1054,4407,390,6185,6374,230,1204,3109,8368,33081
1448,1150,4191,1590,2481,1286,5087,5723,1391,2922,2717,5220,34467
42,8,2161,2311,2737,1928,4577,1767,682,378,3293,6081,30803
3469,1518,2903,1918,8129,4066,7495,5638,707,9043,3659,8263,46800
2850,451,2849,1791,11031,1290,2129,5834,647,3333,1751,3741,21001
6073,4391,2033,3088,9011,3058,8363,8063,4254,6315,10638,17652,62804
10905,8247,7310,5062,10835,4257,8331,16338,2197,10574,8107,17083,63728
4066,2733,7612,0,1740,2713,8441,2020,1,34,6025,10087,66915
10173,5612,7974,0,12654,9835,7117,1216,0,1,7797,17423,57761
7184,4273,151,1971,6275,145,3033,1072,335,8073,1999,3282,16725
395,389,3654,0,1317,3657,5413,1280,3,107,5354,9087,30171
6134,1774,1724,1569,5822,1984,5660,3561,1738,4296,2726,5583,26964
824,523,2673,772,1764,948,7844,6859,995,1490,6715,9317,43482
1379,1248,13789,0,5616,4871,2262,1286,0,70,1595,9980,41107
246,157,1886,1640,5753,1744,4267,4043,783,1648,3762,6916,36220
4508,4225,273,962,1999,1575,4602,3603,558,5300,5225,7596,25718
3319,3134,3081,1978,10919,1900,4283,6436,1117,3613,5375,8459,35769
957,951,2710,1761,21037,1746,2433,9122,1113,1753,4440,8077,33560
9000,4054,0,1953,12637,0,3420,5173,2668,8743,0,0,31240
853,161,4803,2409,5235,813,1438,7195,263,2031,549,2746,24560
636,436,733,3114,4090,1788,5327,2158,610,1055,3323,6149,32163
831,389,3129,0,503,1989,5290,592,4,36,3872,6577,28338
8912,1501,969,1579,8191,365,2762,6620,1629,8534,2573,5186,21718
3507,2316,909,1299,3950,2937,5457,4597,1034,3148,2337,8082,35365
1559,475,1083,3952,14122,0,2606,5952,877,1714,0,0,35847
1438,456,3919,1262,8024,609,5429,5958,221,3523,1570,3584,32912
4592,4113,7837,2556,8389,1751,3023,9292,1505,4082,1237,5564,27167
6032,5214,6500,1,1139,3623,5220,1257,0,23,7021,11960,53757
4833,3538,2751,1659,5811,6257,10521,7793,2998,4231,9046,22081,73715
6996,5174,7119,3757,5483,2211,17256,10313,1397,6769,6005,12430,76999
8482,6322,25,9544,35001,1,5860,20853,1967,14023,0,0,74485
3849,2695,0,5056,7648,0,2272,4498,4314,4177,0,0,32492
0,0,9801,16663,2290,310,6716,24331,518,1293,4457,10413,105215
1153,1120,6836,2777,7626,3288,3177,9476,581,1910,2187,5656,30581
7515,1841,206,3275,12779,0,2718,7165,5123,10023,0,0,40984
12347,2811,9379,0,12109,4159,3290,650,2,526,2211,6441,20995
4241,174,1,3018,9846,0,2887,4675,2988,5765,0,0,35672
2811,1603,9029,5851,16343,152,3878,13398,460,4871,1615,2820,29020
1316,780,0,2335,12985,0,1535,7522,4126,2065,0,0,40732
1456,1043,2240,2622,5706,832,4393,3838,842,1612,3417,6176,27101
4433,2703,1420,2750,1373,436,3292,5736,1207,5057,3275,5055,45921
2455,2085,587,3211,4589,2158,3209,2384,971,2837,3629,7611,32180
2377,569,4538,1285,4293,1000,4479,6849,1333,2734,2728,5074,34270
398,294,2428,2602,748,1092,10344,3440,1320,473,5896,8038,26040
1916,170,5155,0,7187,1276,4163,1526,0,0,4834,6115,47835
60,21,6358,818,2367,401,5432,5165,2042,551,3396,6079,38425
165,116,1327,5928,5989,0,2989,2918,3869,1344,0,0,32456
2334,186,446,4288,14026,0,3441,5307,1904,3008,0,0,23711
5923,1222,2619,7513,9326,700,2894,2542,1362,6930,2127,8499,34546
2688,618,2895,2629,10551,4984,3172,6993,892,4394,2504,7524,37835
3272,1151,1350,1285,11563,1824,7717,9099,465,3545,4449,4917,56019
7333,5669,4821,3334,3642,142,4976,6827,391,7836,3745,4372,26713
3321,3065,6489,2328,4954,369,9763,6949,488,3318,2258,4570,31837
3416,2907,9,2664,12575,0,1522,4945,1370,3958,0,0,21528
565,364,4190,7771,17218,0,3305,6799,1623,3630,0,0,40426
1062,654,2119,1217,727,1060,6026,5912,1331,1170,6925,8879,43312
6279,5674,3821,2246,3463,366,4831,7323,227,8440,1614,2432,24877
1252,825,3499,1987,9447,780,4669,5385,1469,1015,4604,6117,30841
7921,1474,30,48,347,59,902,528,388,6949,730,1017,5980
0,0,1166,268,325,84,5132,1210,752,0,1819,3250,27916
1218,815,76,3399,3812,0,2139,2684,1015,1463,0,0,17660
1270,651,1200,1444,3267,632,3773,3745,262,1521,1487,2280,16439
536,222,614,443,842,768,2768,1433,470,977,2203,3877,20755
2221,214,2869,1918,9500,370,3162,6793,289,3314,1819,2574,24227
660,534,1382,530,2926,1157,4407,2233,693,810,3150,6092,26574
1184,995,29,879,1414,0,3373,2321,1458,1280,0,0,23327
4711,4164,1070,1111,1207,2560,2086,3129,670,3809,3007,6640,28241
2067,1555,868,2051,9633,567,2113,2249,391,1987,2149,3151,19436
1706,404,1140,1050,4111,633,4771,2406,183,2079,4000,4392,26440
1199,1162,1130,3529,21775,1623,5850,11759,330,2398,7149,9432,39151
1845,483,1037,1266,4245,1546,6233,3357,297,2281,3869,5932,33897
2245,2033,5039,2134,10733,2325,3413,6153,230,2111,2081,5922,36276
1848,1812,5647,2210,5159,2374,4230,6124,210,1800,2108,5795,31314
