"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Bifidobacterium longum","Blautia coccoides","Blautia hansenii","Blautia hydrogenotrophica","Blautia sp. Ser8","Butyrivibrio fibrisolvens","Caloramator fervidus","Clostridium botulinum","Clostridium leptum","Clostridium polysaccharolyticum","Clostridium scindens","Clostridium sp. enrichment culture clone 7-25","Clostridium xylanolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Eubacterium coprostanoligenes","Eubacterium eligens","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospira multipara","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Listeria monocytogenes","Listeria seeligeri","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Roseburia faecis","Ruminococcus albus","Ruminococcus bromii","Ruminococcus gnavus","Ruminococcus torques","Selenomonas ruminantium","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","Bacteroides sp. WA1","all_others"
2890,2632,2597,410,1909,108,179,5641,66,231,49,931,590,113,120,360,28,157,254,213,58,1134,256,965,136,11,338,2856,948,4628,32,1856,447,463,397,507,4,0,2469,4632,77,4924,119,644,1181,11,501,30,332,1172,1305,56,5702
3521,39,64,1041,9228,272,418,33252,63,7,596,273,1142,20,39,3772,0,13,180,494,527,154,0,1,0,36,10,3134,0,13158,2,712,150,934,12,0,1164,13,4583,0,0,0,1,4,1,32,102,44,716,84,2094,1,16726
980,361,831,168,3143,197,341,5240,169,314,73,2024,575,236,183,262,103,784,204,311,596,1008,1111,443,85,952,236,4385,1261,3133,452,2100,332,1760,285,87,365,133,2147,4555,1904,8477,114,79,350,170,100,1014,1130,1259,1295,338,13692
1536,509,2779,101,1752,735,121,6068,141,193,11,2590,223,43,183,333,1377,1174,209,304,157,1149,862,258,237,728,50,1940,1826,5126,17,2572,249,943,83,207,545,981,2666,6364,1270,7455,8,166,175,318,150,144,1505,595,1240,507,12486
2910,2006,4080,39,1784,58,603,10079,558,91,27,1794,597,178,175,161,36,1186,460,391,1729,221,1474,156,351,2187,471,1989,899,6547,136,1707,399,2548,58,386,264,5,3364,6404,2636,10273,64,195,693,283,155,203,2261,1278,420,219,15615
951,706,2078,58,3410,238,47,6315,111,25,39,742,189,19,108,382,16,1001,144,55,227,756,184,326,88,416,158,5316,1102,2924,149,887,459,863,358,339,42,74,1357,3363,1267,4883,43,327,860,271,148,55,890,205,671,133,8521
2692,544,2758,108,1533,257,27,3297,191,120,21,618,423,134,229,162,131,221,145,128,314,489,223,109,52,251,629,3108,668,3928,55,895,128,566,47,338,301,99,3534,2861,340,4305,443,176,145,328,64,110,624,244,556,11,7412
1839,1433,3394,48,4090,448,26,3106,110,1834,57,753,2110,28,64,757,181,196,223,434,1065,2168,273,96,21,219,239,5488,1922,5739,60,851,180,589,105,140,727,72,2212,5668,373,7603,209,108,573,25,22,151,682,350,639,381,10623
35,35,6872,15935,22477,9,325,8667,91,226,33,164,619,71,36,216,8,22,88,579,13,69,577,1,58,2,122,844,1444,16263,1,107,744,209,249,17,14442,7,618,653,137,1536,2,8,331,149,116,2,214,16,678,2,6873
7012,4861,3164,192,1692,326,696,2346,329,386,133,1628,924,492,173,108,95,642,892,224,225,830,1337,533,509,404,354,8037,1047,6462,56,1827,445,1310,48,370,262,4,7119,6099,1999,9384,167,63,389,36,71,424,1758,230,1382,1095,14555
