"Alistipes","Bacteroides","Blautia","Clostridium","Coptotermes","Dethiobacter","Eubacterium","Faecalibacterium","Heliobacterium","Kineococcus","Lactobacillus","Parabacteroides","Reinekea","Ruminococcus","Synechococcus","all_others"
7139,12918,1840,5477,308,436,1311,3292,3653,5736,2953,5894,5055,4392,3102,18655
4541,11673,886,3348,725,2158,2674,3209,1303,2384,2077,3543,7611,1179,1252,19116
3045,14235,920,4371,78,1000,288,4479,2036,6849,1988,9933,5074,1332,2616,13173
693,6800,2463,2435,558,1092,3083,10344,1960,3440,2040,561,8038,2073,887,16597
2088,16418,3658,7743,457,1276,1087,4163,7475,1526,496,7,6115,1162,0,26506
81,13995,1373,1598,174,401,3701,5432,3353,5165,3150,1119,6079,1342,555,23535
281,16785,2252,8288,516,0,906,2989,0,2918,4264,2193,0,1788,580,12832
2526,24829,957,2339,383,0,1450,3441,0,5307,2747,3904,0,719,1582,7446
8585,21104,1087,2112,402,700,918,2894,754,2542,1688,19101,8499,1807,1948,12015
4316,24413,1239,3601,928,4984,1968,3172,861,6993,1879,5423,7524,376,544,19231
4556,20291,1641,8544,400,1824,3419,7717,4742,9099,789,7435,4917,12998,3063,15216
13005,14966,1400,2738,279,142,3790,4976,1477,6827,594,10062,4372,2254,547,12370
6407,18595,2656,1688,252,369,4732,9763,3994,6949,1369,4857,4570,760,1259,11425
6331,17206,2026,1999,60,0,1085,1522,0,4945,1823,4903,0,1661,1301,9778
930,37414,2237,2651,386,0,3018,3305,0,6799,4666,7042,0,848,1736,12134
1727,9694,5702,5351,982,1060,1490,6026,2135,5912,2125,1927,8879,895,1157,24975
11955,14521,961,1957,357,366,835,4831,2140,7323,1831,9109,2432,2245,479,10196
2088,19043,736,4362,1042,780,2441,4669,1120,5385,2103,1889,6117,1115,1605,17379
9419,444,342,813,150,59,512,902,333,528,641,7019,1017,738,181,3258
0,1768,1378,3916,348,84,282,5132,1433,1210,2662,0,3250,1279,352,18823
2033,8928,1384,2004,195,0,1304,2139,0,2684,1936,4905,0,1715,506,4493
1924,9795,961,1902,93,632,1090,3773,550,3745,457,1839,2280,1270,653,6826
906,2925,1677,1680,391,768,764,2768,694,1433,627,1316,3877,467,679,14933
2436,20511,1287,2463,454,370,1933,3162,1358,6793,1102,4462,2574,743,592,8770
1195,6759,1044,3066,1902,1157,1893,4407,1266,2233,2351,1577,6092,856,614,14658
2180,6652,1059,1518,382,0,2489,3373,0,2321,2286,1608,0,2192,1275,8861
8975,5246,2440,3367,1388,2560,772,2086,958,3129,1481,4725,6640,910,1169,16511
4041,14989,1213,1941,256,567,466,2113,689,2249,813,7100,3151,1206,514,6875
2718,7891,2529,2854,1488,633,1797,4771,1228,2406,671,3431,4392,1809,1461,13180
2361,37523,3027,2183,2093,1623,4223,5850,969,11759,1895,2400,9432,3321,524,16661
2463,7861,3988,3957,675,1546,1118,6233,1293,3357,1272,5612,5932,2383,2949,15409
4278,19998,1461,2701,44,2325,2288,3413,1989,6153,1505,3940,5922,5104,1829,17483
3660,15104,1020,1535,51,2374,2824,4230,1829,6124,445,3495,5795,4339,1520,16023
