"","Alistipes","Bacteroides","Barnesiella","Blautia","Butyrivibrio","Caloramator","Clostridium","Eubacterium","Faecalibacterium","Hespellia","Parabacteroides","Ruminococcus","Selenomonas","Veillonella","all_others"
"EM094",1547,6237,79,430,40,33,451,1151,1372,119,951,287,0,35,125
"EM220",2708,2252,0,423,28,7323,1999,157,56,42,1020,323,38,37,210
"EM240",568,2680,743,953,475,403,6387,2238,1287,608,694,1030,408,150,4476
"EM264",3319,6617,813,3051,1211,381,1755,1932,1635,196,1358,654,470,87,774
"EM158",2134,4578,21,68,475,194,983,315,184,0,1609,1235,35,0,1317
"EM221",185,9959,23,503,98,15,773,1639,760,0,1734,41,0,115,532
"EM255",7184,448,0,374,0,42,1239,83,454,456,2875,178,29,0,1520
"EM133",7012,5198,802,924,492,173,4207,3089,2453,445,874,637,424,121,909
"EM320",1316,5471,0,612,125,112,5138,1714,1252,597,405,495,106,146,2383
"EM072",2279,2117,33,462,106,547,1783,2292,1847,854,3501,148,392,122,703
"EM207",630,18381,32,1252,125,11,363,1482,1018,51,694,2167,0,76,552
"EM230",6953,14773,117,354,60,240,7105,3834,1221,201,5672,740,247,92,4510
"EM351",2688,7258,11,465,88,172,2828,1621,1560,93,844,106,316,156,917
"EM279",6996,11801,575,2282,345,219,6604,1941,6977,1581,2953,4498,183,197,1142
"EM110",951,2289,108,189,19,108,3714,738,1551,15,337,851,358,49,1749
"EM190",1652,1660,157,478,168,420,2644,1080,1360,1780,870,1953,938,66,1201
"EM251",6073,4942,371,1702,656,637,2834,3547,2730,483,2450,1165,2160,184,1466
"EM334",60,5986,0,370,533,125,801,3511,1803,419,621,861,12,243,3407
"EM275",1438,5604,333,315,99,208,1945,157,1746,45,818,1103,30,103,1478
"EM055",2187,4113,33,600,374,365,3418,1178,3621,767,1487,899,414,79,1070
"EM273",3507,4919,176,524,921,23,1593,2564,1199,50,672,1874,51,68,815
"EM107",1536,4717,44,223,43,183,2068,839,606,74,1691,344,144,50,1450
