"","Acidimicrobium","Alistipes","Amycolatopsis","Arthrobacter","Bacillus","Bradyrhizobium","Candidatus Amoebophilus","Candidatus Koribacter","Candidatus Nitrososphaera","Candidatus Solibacter","Chthoniobacter","Clostridium","Cryobacterium","Flavobacterium","Hymenobacter","Janibacter","Kribbella","Micromonospora","Mycobacterium","Nitrospira","Nocardioides","Opitutus","Paenibacillus","Pedobacter","Pirellula","Pseudomonas","Pseudonocardia","Rubrobacter","Ruminococcus","Terrimonas","Thermoleophilum","all_others"
"CC35-Micro-July2012",54,14,71,268,192,13,33,645,446,233,1508,63,51,15,62,31,13,81,33,154,45,50,65,12,42,75,20,59,162,520,27,502
"P46-WS-July2012",36,30,44,182,238,228,33,1172,195,420,470,89,44,85,60,62,0,102,34,52,116,82,80,13,59,14,0,52,250,778,37,582
"PF23-SM-October2012",32,33,67,170,211,25,69,511,382,145,1246,66,51,22,107,41,22,106,60,83,51,69,79,60,61,66,51,81,109,891,36,626
"P31-LM-October2012",49,64,88,51,251,53,30,182,822,95,1377,49,26,78,60,50,72,96,91,98,35,51,77,13,104,37,73,224,70,729,80,666
"P13-WS-July2012",0,36,103,99,249,0,54,90,675,105,823,86,27,34,63,34,44,101,78,87,50,82,80,25,112,88,52,196,111,807,76,719
"CC21-LM-October2012",18,14,49,29,343,143,37,1428,628,225,1741,25,20,0,24,20,18,71,25,199,29,52,92,18,41,15,19,58,236,477,19,439
"P46-SM-July2012",62,42,44,301,234,112,28,822,117,246,718,38,63,61,60,30,0,62,43,46,46,61,82,22,54,10,43,86,167,755,37,1047
"P24-LM-July2012",24,0,149,35,284,151,30,1221,630,219,1901,93,20,0,33,16,38,141,62,116,31,65,119,25,69,0,44,119,104,627,39,603
"P13-LM-October2012",24,71,105,139,237,165,26,219,467,98,1109,119,19,214,362,34,36,120,140,68,51,37,82,130,52,0,46,194,106,1170,57,1308
"CC35-LM-October2012",12,40,92,250,309,64,22,1364,596,350,793,99,30,11,57,28,11,67,25,217,50,55,93,39,58,20,15,96,155,620,16,488
"CC35-WS-October2012",15,31,0,188,227,0,11,575,239,149,1562,57,14,22,82,28,11,23,17,103,16,48,52,26,54,51,13,27,98,485,17,339
"PF15-SM-October2012",44,12,67,199,314,276,51,154,1007,79,1137,83,53,50,75,47,60,90,140,173,61,48,76,79,96,71,97,256,93,685,60,733
"CC21-Micro-July2012",43,25,73,253,157,84,51,879,698,334,675,107,57,12,78,42,16,125,47,251,58,85,64,41,64,0,35,83,225,918,32,885
"P31-Micro-July2012",41,28,68,148,137,126,64,78,732,78,1776,47,33,42,106,44,38,110,85,99,40,86,39,20,130,30,36,170,111,1062,88,677
"P31-SM-July2012",46,28,52,168,234,44,47,115,672,61,1345,77,41,42,67,61,46,96,93,103,40,54,70,19,132,0,35,218,115,729,60,732
"CC43-WS-October2012",24,17,55,36,455,29,45,1399,827,418,1917,89,0,19,41,0,16,60,33,237,22,67,123,0,51,0,24,87,268,617,13,468
"CC21-WS-October2012",14,46,59,40,242,66,48,1189,639,259,2504,77,15,31,35,11,21,73,22,310,35,98,53,20,77,22,15,72,223,771,27,524
"P46-LM-July2012",32,61,50,131,241,47,49,928,109,334,510,27,45,96,44,18,0,82,52,30,16,107,73,14,43,20,23,87,271,711,10,467
"CC12-LM-July2012",31,0,15,50,433,195,50,467,1028,229,1765,92,44,0,20,18,31,77,34,214,25,59,73,11,49,0,29,164,140,447,35,477
"PF32-MM-July2012",21,31,66,90,103,158,31,206,571,82,1346,28,20,71,32,24,24,60,59,152,28,88,51,16,54,0,32,104,83,831,51,510
"P31-WS-July2012",18,62,102,113,349,71,26,179,712,106,1334,204,18,73,52,62,55,106,94,119,79,81,88,21,76,45,58,216,105,865,48,809
"PF41-Micro-October2012",65,19,95,326,176,237,68,281,1028,122,1539,130,69,33,107,63,53,153,96,179,84,39,68,103,125,104,74,202,124,1355,53,944
"CC43-LM-October2012",0,0,19,33,310,23,26,1299,457,303,934,32,15,0,24,13,0,46,17,160,12,23,47,0,30,0,16,47,180,247,33,313
"PF41-LM-October2012",19,26,64,70,157,43,21,87,559,57,715,42,19,51,40,31,60,72,64,93,26,54,68,27,72,20,61,139,46,575,69,650
"P31-SM-October2012",0,25,47,29,120,92,30,48,419,37,674,27,0,47,70,37,27,40,49,46,25,48,43,13,57,21,39,116,57,403,25,205
"P24-MM-July2012",47,46,54,88,291,109,42,280,584,131,823,89,22,81,51,41,34,79,94,110,44,79,93,18,125,45,37,142,114,792,55,576
"CC43-Micro-October2012",24,26,69,114,316,25,71,1203,1022,374,2311,90,42,31,85,27,19,78,37,202,88,78,117,35,48,0,31,98,260,1102,36,947
"CC21-MM-October2012",13,0,43,30,221,0,37,950,527,123,1213,18,0,0,26,0,13,20,0,151,24,21,61,0,0,19,17,28,134,360,11,241
"P31-MM-October2012",29,46,60,69,175,126,32,75,663,76,1060,53,21,55,57,10,66,93,65,92,50,83,63,0,112,35,41,240,29,759,56,489
"PF15-MM-July2012",24,28,0,83,144,87,35,103,783,50,928,23,19,63,152,25,17,54,49,165,26,58,29,66,57,89,34,122,85,581,33,335
"PF15-WS-July2012",19,28,14,84,193,0,36,111,1159,98,1098,78,16,119,81,29,10,73,76,177,24,98,112,38,111,15,51,121,80,887,68,459
"PF23-LM-July2012",36,36,41,46,216,200,65,799,345,263,769,27,17,112,0,0,11,59,38,131,15,41,43,17,33,53,29,75,174,549,0,282
"PF15-SM-July2012",34,22,59,182,178,103,51,199,970,101,1659,50,17,42,102,13,48,68,58,208,50,114,50,48,102,21,45,151,105,939,43,718
"PF32-WS-October2012",62,101,70,181,264,156,51,268,422,121,2282,72,51,244,162,60,48,121,70,140,44,164,80,80,96,310,36,75,142,1386,33,825
"P13-Micro-October2012",61,39,138,158,234,105,42,207,441,61,1538,44,135,44,73,0,48,189,158,90,81,73,101,14,89,21,64,350,156,770,77,993
"CC35-Micro-October2012",14,20,89,494,444,217,53,1053,748,272,1901,57,28,39,220,59,22,94,44,201,98,95,118,80,64,30,43,134,263,1279,60,1090
"PF32-Micro-July2012",15,0,28,115,94,0,40,122,496,60,1362,29,14,51,50,14,16,19,41,78,18,82,46,15,76,102,20,77,72,869,13,289
"PF23-LM-October2012",45,19,67,190,202,99,67,622,414,168,920,82,33,44,31,18,29,188,51,120,53,77,75,51,96,32,41,97,197,706,40,676
"CC21-SM-October2012",36,19,104,120,483,55,65,1360,860,370,871,54,30,16,55,24,27,110,45,299,89,83,155,36,72,52,29,90,346,817,30,1174
"CC43-SM-October2012",0,0,20,36,210,31,27,470,506,113,878,40,15,10,29,0,0,41,10,96,41,39,57,12,26,0,14,33,113,362,17,168
"P46-Micro-October2012",65,54,124,437,536,432,87,1195,163,461,976,104,199,75,150,29,0,101,130,46,117,120,164,58,130,64,77,137,342,1658,63,2149
"CC21-MM-July2012",30,22,33,107,210,66,48,1211,654,267,1802,33,21,23,38,14,13,58,24,313,37,54,58,17,62,28,22,100,196,536,23,447
"CC35-SM-October2012",18,27,79,415,336,257,36,938,766,307,1389,68,31,35,159,53,15,90,46,219,70,77,136,75,60,56,32,108,245,1013,38,838
"PF32-WS-July2012",41,149,41,111,251,63,63,359,711,113,2408,43,46,356,105,50,32,99,64,187,42,152,67,25,107,244,35,129,144,1771,37,511
"P31-MM-July2012",45,31,78,87,170,193,23,175,537,124,1427,45,54,51,20,46,59,191,56,118,45,73,71,10,163,0,22,223,127,471,71,575
"CC12-Micro-October2012",37,22,58,264,374,145,64,194,1405,135,1637,71,40,19,251,64,52,99,89,192,76,96,84,106,76,11,38,326,178,1424,41,611
"PF15-MM-October2012",26,20,83,111,229,201,32,149,1239,121,1393,80,20,58,88,42,26,93,67,215,27,79,72,47,106,39,70,258,90,895,44,687
"PF41-LM-July2012",23,16,47,173,199,118,40,357,538,107,465,19,15,32,39,0,21,86,76,148,20,26,47,18,49,33,19,114,112,527,24,424
"PF15-WS-October2012",34,16,35,101,211,65,23,129,657,80,836,31,83,52,84,25,40,75,67,137,30,46,42,49,77,36,44,268,96,807,51,462
"P24-MM-October2012",60,29,73,67,318,72,28,320,366,110,1505,55,47,50,96,47,45,131,93,73,50,79,99,57,87,18,46,113,92,552,62,711
"PF32-SM-July2012",40,55,49,192,224,197,69,303,1038,125,985,37,21,103,91,42,31,103,52,232,52,85,62,37,104,19,34,143,159,1105,27,641
"PF32-MM-October2012",60,29,85,139,180,75,63,329,567,164,1846,36,30,119,251,22,50,175,78,205,106,138,57,139,70,46,81,182,110,1172,24,918
"CC35-SM-July2012",19,0,27,99,59,136,17,742,489,172,1637,85,16,20,31,16,11,19,12,121,20,24,38,11,25,0,0,30,133,408,13,162
"CC43-LM-July2012",17,32,41,35,199,55,12,967,401,275,1566,26,24,77,49,0,14,43,24,156,14,50,57,14,26,0,17,51,185,643,0,272
"CC35-WS-July2012",23,0,33,78,193,136,17,595,433,186,1259,37,20,19,35,0,0,28,11,139,19,45,76,0,28,0,21,39,113,320,0,222
"CC12-LM-October2012",0,0,52,45,481,29,16,110,1850,79,1441,184,0,0,25,0,40,96,51,216,11,59,91,15,143,11,26,322,68,237,96,738
"P46-LM-October2012",41,182,47,141,427,336,17,1467,70,348,1238,98,34,328,230,17,15,49,45,20,59,51,147,0,67,59,66,52,196,623,51,845
"PF32-SM-October2012",27,57,69,205,221,140,86,197,448,113,867,33,72,106,464,54,29,118,81,112,75,115,63,210,129,203,63,117,139,1697,42,1099
"CC21-WS-July2012",35,13,67,67,229,65,35,1122,511,290,1619,50,41,17,35,0,11,81,21,245,27,39,60,31,30,22,29,59,162,525,22,592
"PF15-Micro-July2012",19,23,113,182,118,37,64,240,852,118,848,37,14,43,65,42,26,61,49,193,46,84,47,51,84,171,38,109,103,857,38,549
"CC43-WS-July2012",43,11,30,78,161,106,33,1076,400,255,937,37,14,19,23,15,0,53,29,219,22,47,54,0,62,0,49,64,142,457,24,999
"P31-WS-October2012",42,84,57,112,328,0,41,275,840,97,1427,34,42,65,120,76,70,175,113,94,48,100,61,26,126,0,93,253,84,1192,84,723
"CC35-LM-July2012",42,11,34,76,93,45,54,952,607,197,1300,39,27,19,23,17,0,58,22,144,12,16,44,0,33,0,0,70,138,256,12,208
"P13-LM-July2012",45,118,159,127,274,123,21,183,653,144,2253,61,47,624,79,39,86,155,106,131,28,66,91,11,85,0,44,187,130,935,45,708
"CC43-SM-July2012",12,12,24,60,161,46,22,524,378,133,1550,30,13,0,24,0,0,44,13,165,14,30,60,0,54,28,0,43,130,292,12,207
"CC21-SM-July2012",43,0,39,148,206,141,38,728,486,242,579,72,45,50,38,18,35,104,26,196,36,43,62,20,43,0,23,75,162,499,22,553
"P24-Micro-July2012",27,33,52,154,220,38,36,162,341,97,1000,66,47,58,105,67,23,81,152,80,68,110,83,30,129,0,41,155,121,899,47,770
"PF23-Micro-October2012",49,37,129,283,228,230,91,544,322,174,1136,66,83,68,113,48,40,121,74,122,108,131,71,63,107,165,47,93,170,1214,21,925
